"ID";"CIDADE TITULO";"Tipo";"Data";"UF";"Cidade/Região";"Quantidade de municípios";"Realizada";"Relatório";"Participantes Soc. Civil";"Participantes Poder Público";"Participantes Conselhos";"Participantes convidados";"Participantes Observadores";"Total Participantes";"Proposta Eixo 1";"Propostas Eixo 2";"Propostas Eixo 3";"Propostas Eixo 4";"Total de propostas";"Delegados Sociedade Civil";"Delegados Poder Público";"Delegados Conselhos";"Total de delegados"
23;"Maravilha";"Regional";16/09/11;"SC";"Maravilha, Bom Jesus do Oeste, Caibi, Campo Erê, Cunha Porã, Cunhataí, Flor do Sertão, Iraceminha,  Modelo, Palmitos, Riqueza, Romelândia, Saltinho, Santa Terezinha do Progresso, São Miguel da Boa Vista, Saudades, Tigrinhos ";17;"SIM";"FINALIZADO";81;18;42;2;0;143;5;5;5;5;20;5;2;1;8
24;"Palmeiras de Goiás";"Regional";16/09/11;"GO";"Palmeiras de Goiás, Aporé, Aragarças, Campestre de Goiás, Cezarina, Indiara, Iporá, Jataí, Moiporá, Rio Verde, Santa Bárbara de Goiás, Santo Antônio da Barra, Turvânia ";13;"SIM";"FINALIZADO";56;60;6;0;2;124;9;3;3;5;20;8;11;3;22
25;"Rosário Oeste";"Municipal";16/09/11;"MT";"Rosário Oeste";1;"SIM";"FINALIZADO";150;58;11;10;8;237;5;5;5;5;20;8;4;2;14
26;"Alfenas";"Municipal";17/09/11;"MG";"Alfenas";1;"SIM";"FINALIZADO";152;62;21;4;0;239;4;4;5;5;18;8;5;2;15
27;"Cristinápolis";"Livre";19/09/11;"SE";"Cristinápolis";0;"SIM";"FINALIZADO";1;14;1;0;0;16;5;0;0;5;10;0;0;0;0
28;"Miracema do Tocantins";"Regional";20/09/11;"TO";"Miracema do Tocantins, Miranorte, Rio dos Bois, Rio Sono, Tocantínia ";5;"SIM";"FINALIZADO";62;58;21;0;65;206;3;6;5;6;20;5;2;1;8
29;"Alto Taquari";"Municipal";22/09/11;"MT";"Alto Taquari";1;"SIM";"FINALIZADO";13;8;5;3;2;31;5;2;5;2;14;0;2;0;2
30;"Bonito de Santa Fé";"Municipal";22/09/11;"PB";"Bonito de Santa Fé";1;"SIM";"FINALIZADO";59;25;4;6;7;101;4;4;5;5;18;1;1;0;2
31;"Campos dos Goytacazes";"Municipal";22/09/11;"RJ";"Campos dos Goytacazes";1;"SIM";"FINALIZADO";45;38;12;9;1;105;5;5;5;5;20;5;3;1;9
32;"Itaeté";"Municipal";22/09/11;"BA";"Itaeté";1;"SIM";"FINALIZADO";69;42;13;12;1;137;1;1;3;2;7;0;1;0;1
33;"Alexânia";"Regional";23/09/11;"GO";"Alexânia, Água Fria de Goiás,  Cabeceiras, Cristalina, Monte Alegre de Goiás, Novo Gama, Planaltina, Posse, Valparaíso de Goiás ";9;"SIM";"FINALIZADO";140;55;9;4;3;211;5;6;4;5;20;20;12;3;35
34;"Lagarto";"Municipal";23/09/11;"SE";"Lagarto";1;"SIM";"FINALIZADO";34;45;25;15;21;140;4;4;5;7;20;5;4;4;13
35;"Pedro Afonso";"Regional";23/09/11;"TO";"Pedro Afonso, Bom Jesus do Tocantins, Centenário, Recursolândia, Santa Maria do Tocantins, Tupirama ";6;"SIM";"FINALIZADO";8;45;17;0;3;73;3;2;7;8;20;2;1;1;4
36;"Serra";"Municipal";23/09/11;"ES";"Serra";1;"SIM";"FINALIZADO";90;45;15;40;10;200;5;3;9;3;20;28;10;6;44
37;"Vila Velha";"Municipal";23/09/11;"ES";"Vila Velha";1;"SIM";"FINALIZADO";121;129;58;15;1;324;4;5;5;6;20;27;11;5;43
38;"Apuarema";"Municipal";27/09/11;"BA";"Apuarema";1;"SIM";"FINALIZADO";15;8;30;0;0;53;4;3;7;2;16;2;2;2;6
39;"Benjamim Constant";"Municipal";27/09/11;"AM";"Benjamim Constant";1;"SIM";"FINALIZADO";255;0;0;0;0;255;2;3;6;7;18;3;1;1;5
40;"Caiçara";"Municipal";27/09/11;"RS";"Caiçara";1;"SIM";"FINALIZADO";5;10;2;27;22;66;1;1;1;1;4;1;1;1;3
41;"Condado";"Municipal";27/09/11;"PB";"Condado";1;"SIM";"FINALIZADO";37;25;10;4;2;78;5;5;6;4;20;1;0;0;0
42;"Nova Esperança do Sul";"Municipal";27/09/11;"RS";"Nova Esperança do Sul";1;"SIM";"FINALIZADO";3;3;4;36;0;46;2;2;2;2;8;0;1;0;1
43;"Palhano";"Municipal";27/09/11;"CE";"Palhano";1;"SIM";"FINALIZADO";38;33;10;9;0;90;5;5;5;5;20;10;4;2;16
44;"Missal";"Municipal";29/09/11;"PR";"Missal";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
45;"Barra do Garças";"Municipal";29/09/11;"MT";"Barra do Garças";1;"SIM";"FINALIZADO";151;0;0;0;0;151;3;4;4;1;12;1;0;0;1
46;"Júlio Borges";"Municipal";29/09/11;"PI";"Júlio Borges";1;"SIM";"FINALIZADO";75;36;20;12;11;154;6;5;4;5;20;1;1;0;2
47;"Penaforte";"Municipal";29/09/11;"CE";"Penaforte";1;"SIM";"FINALIZADO";49;24;8;240;33;354;3;4;3;2;12;6;3;1;10
48;"Recife";"Livre";29/09/11;"PE";"Recife";0;"SIM";"FINALIZADO";276;32;32;0;0;340;1;2;1;6;10;0;0;0;0
49;"Almirante Tamandaré";"Municipal";30/09/11;"PR";"Almirante Tamandaré";1;"SIM";"Pré-conferência";6;24;17;0;5;52;2;2;1;2;7;3;1;2;6
50;"Araripe";"Municipal";30/09/11;"CE";"Araripe";1;"SIM";"FINALIZADO";107;61;42;4;1;215;6;4;6;4;20;6;3;1;10
51;"Itumbiara";"Regional";30/09/11;"GO";"Itumbiara, Aloândia, Bom Jesus de Goiás, Buriti Alegre, Cachoeira Dourada, Caldas Novas, Goiatuba, Inaciolândia,  Joviânia, Mineiros, Morrinhos, Porteirão, Professor Jamil, Quirinópolis, Rio Quente, Santa Helena de Goiás ";16;"SIM";"FINALIZADO";40;40;7;0;0;87;6;5;6;3;20;4;3;3;10
52;"Jaguarari";"Municipal";30/09/11;"BA";"Jaguarari";1;"SIM";"FINALIZADO";5;30;2;10;10;57;2;2;2;4;10;0;1;0;1
53;"Juripiranga";"Municipal";03/10/11;"PB";"Juripiranga";1;"SIM";"FINALIZADO";10;8;2;65;146;231;4;8;4;4;20;1;1;0;2
54;"Água Branca";"Municipal";04/10/11;"PB";"Água Branca";1;"SIM";"FINALIZADO";47;20;3;3;0;73;4;6;6;4;20;1;0;0;1
55;"Alagoa Grande";"Municipal";04/10/11;"PB";"Alagoa Grande";1;"SIM";"FINALIZADO";54;27;9;8;3;101;5;5;5;5;20;1;1;1;3
56;"Araguaína";"Regional";04/10/11;"TO";"Araguaína, Aragominas,  Babaçulândia, Barra do Ouro, Campos Lindos, Carmolândia, Filadélfia, Goiatins, Muricilândia, Nova Olinda, Pau d'Arco, Santa Fé do Araguaia, Wanderlândia ";13;"SIM";"FINALIZADO";82;122;11;3;4;222;5;4;5;6;20;24;12;3;39
57;"Nossa Senhora de Lourdes";"Municipal";04/10/11;"SE";"Nossa Senhora de Lourdes";1;"SIM";"FINALIZADO";102;37;12;28;12;191;7;4;4;5;20;6;2;2;10
58;"Piraí";"Municipal";04/10/11;"RJ";"Piraí";1;"SIM";"FINALIZADO";77;39;12;15;14;157;3;5;3;9;20;1;1;1;3
59;"São José dos Quatro Marcos";"Municipal";04/10/11;"MT";"São José dos Quatro Marcos";1;"SIM";"FINALIZADO";74;37;12;10;0;133;4;6;5;5;20;4;4;4;12
60;"Alto Santo";"Municipal";05/10/11;"CE";"Alto Santo";1;"SIM";"FINALIZADO";6;23;3;1;1;34;5;5;5;5;20;2;2;2;6
61;"Itabaiana";"Municipal";05/10/11;"PB";"Itabaiana";1;"SIM";"FINALIZADO";31;10;5;0;0;46;2;1;1;1;5;1;1;1;3
62;"Milagres";"Municipal";05/10/11;"CE";"Milagres";1;"SIM";"FINALIZADO";126;40;7;0;4;177;5;10;2;3;20;6;3;1;10
63;"Pacujá";"Municipal";05/10/11;"CE";"Pacujá";1;"SIM";"FINALIZADO";21;15;10;5;0;51;5;5;5;5;20;4;4;2;10
64;"Ananás";"Regional";06/10/11;"TO";"Ananás, Angico, Araguanã, Cachoeirinha, Piraquê, Riachinho, São Bento do Tocantins, Xambioá ";8;"SIM";"FINALIZADO";22;66;2;0;25;115;3;6;7;4;20;4;3;0;7
