"ID";"CIDADE TITULO";"Tipo";"Data";"UF";"Cidade/Região";"Quantidade de municípios";"Realizada";"Relatório";"Participantes Soc. Civil";"Participantes Poder Público";"Participantes Conselhos";"Participantes convidados";"Participantes Observadores";"Total Participantes";"Proposta Eixo 1";"Propostas Eixo 2";"Propostas Eixo 3";"Propostas Eixo 4";"Total de propostas";"Delegados Sociedade Civil";"Delegados Poder Público";"Delegados Conselhos";"Total de delegados"
977;"Nova Friburgo";"Municipal";13/02/12;"RJ";"Nova Friburgo";1;"SIM";"FINALIZADO";8;7;2;54;1;72;5;5;5;5;20;3;2;1;6
978;"Oliveira";"Municipal";13/02/12;"MG";"Oliveira";1;"SIM";"FINALIZADO";0;5;0;2;0;7;1;1;1;1;4;0;1;0;1
979;"Parati";"Municipal";13/02/12;"RJ";"Parati";1;"SIM";"FINALIZADO";29;47;12;88;29;205;5;5;7;3;20;3;1;1;5
980;"Rio de Janeiro";"Municipal";13/02/12;"RJ";"Rio de Janeiro";1;"SIM";"FINALIZADO";163;74;24;0;28;289;5;4;1;10;20;52;13;7;72
981;"São Leopoldo";"Municipal";13/02/12;"RS";"São Leopoldo";1;"SIM";"FINALIZADO";42;21;6;10;78;157;3;4;3;3;13;17;9;3;29
982;"São Miguel do Aleixo";"Municipal";13/02/12;"SE";"São Miguel do Aleixo";1;"SIM";"FINALIZADO";25;15;15;10;7;72;4;4;4;4;16;7;2;3;12
983;"Ouro Branco";"Municipal";14/02/12;"MG";"Ouro Branco";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
984;"Taperoá ";"Municipal";14/02/12;"BA";"Taperoá ";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
985;"Araraquara ";"Municipal";14/02/12;"SP";"Araraquara ";1;"SIM";"FINALIZADO";48;44;15;0;0;107;5;5;5;5;20;6;3;1;10
986;"Araruama ";"Municipal";14/02/12;"RJ";"Araruama ";1;"SIM";"FINALIZADO";72;36;12;36;38;194;4;4;5;7;20;3;2;1;6
987;"Ariquemes";"Regional";14/02/12;"RO";"Ariquemes, Alto Paraíso, Cujubim, Campo Novo, Itapoã d'Oeste, Machadinho, Monte negro, Theobroma";8;"SIM";"FINALIZADO";9;26;14;2;0;51;5;5;6;4;20;7;6;8;21
988;"Concórdia do Pará";"Municipal";14/02/12;"PA";"Concórdia do Pará";1;"SIM";"FINALIZADO";183;28;10;11;12;244;5;5;5;5;20;4;0;0;4
989;"Conselheiro Lafaiete";"Regional";14/02/12;"MG";"Conselheiro Lafaiete, Belo Vale, Congonhas, Entre Rios de Minas, Jeceaba, Ouro Branco, Sõa Brás do Suaçuí";7;"SIM";"FINALIZADO";44;72;16;0;0;132;3;5;6;5;19;8;6;6;20
990;"Cordeiro ";"Municipal";14/02/12;"RJ";"Cordeiro ";1;"SIM";"FINALIZADO";18;32;8;27;23;108;5;5;5;5;20;1;1;1;3
991;"Divina Pastora";"Municipal";14/02/12;"SE";"Divina Pastora";1;"SIM";"FINALIZADO";60;24;7;0;0;91;4;4;4;4;16;1;1;1;3
992;"Dona Inês";"Municipal";14/02/12;"PB";"Dona Inês";1;"SIM";"FINALIZADO";51;14;32;5;0;102;1;1;2;4;8;1;0;1;2
993;"Itajobi ";"Municipal";14/02/12;"SP";"Itajobi ";1;"SIM";"FINALIZADO";24;12;4;195;73;308;2;8;7;3;20;3;1;1;5
994;"Leme do Prado";"Municipal";14/02/12;"MG";"Leme do Prado";1;"SIM";"FINALIZADO";48;19;10;5;3;85;1;1;3;1;6;1;1;1;3
995;"Marapoama";"Municipal";14/02/12;"SP";"Marapoama";1;"SIM";"FINALIZADO";27;13;5;3;3;51;1;1;1;3;6;0;1;1;2
996;"Miguel Pereira";"Regional";14/02/12;"RJ";"Miguel Pereira, Paty do Alferes, Vassouras ";3;"SIM";"FINALIZADO";34;26;19;3;3;85;3;4;7;6;20;7;3;3;13
997;"Murici";"Regional";14/02/12;"AL";"Murici, Branquinha";2;"SIM";"FINALIZADO";53;30;9;19;10;121;4;5;6;5;20;10;5;2;17
998;"Nova Castilho";"Regional";14/02/12;"SP";"Nova Castilho, São João de Iracema";2;"SIM";"FINALIZADO";35;9;49;0;0;93;6;3;4;3;16;4;1;0;5
999;"Nova Cruz";"Regional";14/02/12;"RN";"Nova Cruz";1;"SIM";"FINALIZADO";21;27;13;5;0;66;5;6;3;6;20;10;8;5;23
1000;"Paulista";"Municipal";14/02/12;"PE";"Paulista";1;"SIM";"FINALIZADO";56;39;8;26;0;129;7;7;3;3;20;16;11;2;29
1001;"Paulo Afonso ";"Municipal";14/02/12;"BA";"Paulo Afonso ";1;"SIM";"FINALIZADO";28;56;4;13;7;108;5;5;5;5;20;1;0;0;1
1002;"Poços de Caldas";"Municipal";14/02/12;"MG";"Poços de Caldas";1;"SIM";"FINALIZADO";87;42;6;0;0;135;5;5;4;6;20;10;6;2;18
1003;"Recife ";"Municipal";14/02/12;"PE";"Recife ";1;"SIM";"FINALIZADO";85;47;14;10;8;164;1;9;4;6;20;29;14;9;52
1004;"Santo Antônio de Jesus";"Municipal";14/02/12;"BA";"Santo Antônio de Jesus";1;"SIM";"FINALIZADO";45;49;7;50;43;194;7;4;4;5;20;12;6;2;20
1005;"São Bento do Una";"Municipal";14/02/12;"PE";"São Bento do Una";1;"SIM";"FINALIZADO";75;52;25;7;2;161;3;4;4;1;12;1;1;1;3
1006;"São José de Ubá ";"Municipal";14/02/12;"RJ";"São José de Ubá ";1;"SIM";"FINALIZADO";48;40;15;10;8;121;5;5;5;5;20;2;2;2;6
1007;"Sete Lagoas";"Municipal";14/02/12;"MG";"Sete Lagoas";1;"SIM";"FINALIZADO";86;96;28;7;0;217;6;4;4;6;20;7;5;2;14
1008;"Tanguá ";"Municipal";14/02/12;"RJ";"Tanguá ";1;"SIM";"FINALIZADO";3;1;1;0;0;5;6;5;5;4;20;3;1;1;5
1009;"União dos Palmares ";"Municipal";14/02/12;"AL";"União dos Palmares ";1;"SIM";"FINALIZADO";31;26;8;2;0;67;4;6;6;4;20;12;2;2;16
1010;"Varginha";"Municipal";14/02/12;"MG";"Varginha";1;"SIM";"FINALIZADO";26;36;12;1;18;93;9;3;5;3;20;5;2;1;8
1011;"Ituberá";"Municipal";15/02/12;"BA";"Ituberá";1;"SIM";"FINALIZADO";21;53;12;3;3;92;5;5;5;5;20;4;3;1;8
1012;"Redenção";"Municipal";15/02/12;"PA";"Redenção";1;"SIM";"FINALIZADO";28;83;6;19;6;142;6;5;3;3;17;6;3;1;10
1013;"Teixeira";"Municipal";15/02/12;"PB";"Teixeira";1;"SIM";"NÃO RELATADA";;;;;;;;;;;0;;;;0
1014;"Angatuba ";"Municipal";15/02/12;"SP";"Angatuba ";1;"SIM";"FINALIZADO";12;6;2;15;2;37;1;3;4;1;9;2;0;0;2
1015;"Arroio do Padre";"Regional";15/02/12;"RS";"Arroio do Padre, Arroio Grande, Canguçu, Capão do Leão, Cerrito, Chuí, Herval, Morro Redondo, Pedras Altas, Pedro Osório, Pelotas, Pinheiro Machado, Piratini, Santa Vitória do Palmar, São José do Norte, São Lourenço do Sul, Turuçu";17;"SIM";"FINALIZADO";121;64;24;5;2;216;;;;;0;14;8;4;26
1016;"Barueri ";"Municipal";15/02/12;"SP";"Barueri ";1;"SIM";"FINALIZADO";28;17;6;0;0;51;5;3;4;5;17;3;1;1;5
1017;"Belém do Brejo do Cruz";"Municipal";15/02/12;"PB";"Belém do Brejo do Cruz";1;"SIM";"FINALIZADO";32;27;9;3;2;73;5;5;5;5;20;2;0;0;2
1018;"Calumbi";"Regional";15/02/12;"PE";"Calumbi, Santa Cruz da Baixa Verde, São José do Belmonte, Serra Talhada, Triunfo";5;"SIM";"FINALIZADO";91;12;4;0;0;107;4;5;5;6;20;6;2;1;9
1019;"Duque de Caxias";"Municipal";15/02/12;"RJ";"Duque de Caxias";1;"SIM";"FINALIZADO";120;60;20;12;30;242;4;5;7;4;20;10;4;2;16
1020;"General Maynard";"Municipal";15/02/12;"SE";"General Maynard";1;"SIM";"FINALIZADO";28;44;14;4;0;90;5;2;3;10;20;9;1;3;13
1021;"Granito";"Municipal";15/02/12;"PE";"Granito";1;"SIM";"FINALIZADO";46;21;8;6;0;81;5;5;5;5;20;6;3;1;10
1022;"Holambra ";"Livre";15/02/12;"SP";"Holambra ";0;"SIM";"FINALIZADO";32;6;1;0;0;39;8;0;0;2;10;0;0;0;0
1023;"Itapetininga ";"Municipal";15/02/12;"SP";"Itapetininga ";1;"SIM";"FINALIZADO";13;3;3;4;2;25;6;6;3;2;17;0;1;0;1
1024;"Itiquira";"Municipal";15/02/12;"MT";"Itiquira";1;"SIM";"FINALIZADO";1;1;1;1;1;5;4;2;4;10;20;0;1;0;1
1025;"Jaguarão";"Municipal";15/02/12;"RS";"Jaguarão";1;"SIM";"FINALIZADO";5;28;3;0;0;36;2;2;5;2;11;1;2;1;4
1026;"Macapá ";"Livre";15/02/12;"AP";"Macapá - FAMA";0;"SIM";"FINALIZADO";105;11;2;0;0;118;0;0;0;10;10;0;0;0;0
1027;"Santo Antônio de Pádua ";"Municipal";15/02/12;"RJ";"Santo Antônio de Pádua ";1;"SIM";"FINALIZADO";14;7;20;11;2;54;6;5;4;5;20;3;1;1;5
1028;"Serrolândia ";"Municipal";15/02/12;"BA";"Serrolândia ";1;"SIM";"FINALIZADO";6;23;9;1;8;47;5;1;5;5;16;2;2;2;6
1029;"Cordeiros";"Municipal";16/02/12;"BA";"Cordeiros";1;"SIM";"FINALIZADO";70;40;10;5;0;125;1;1;1;1;4;0;1;0;1
1030;"Armação dos Búzios";"Municipal";16/02/12;"RJ";"Armação dos Búzios";1;"SIM";"FINALIZADO";60;30;23;10;0;123;5;5;6;4;20;4;2;1;7
1031;"Chapada dos Guimarães";"Municipal";16/02/12;"MT";"Chapada dos Guimarães";1;"SIM";"FINALIZADO";0;0;0;0;1;1;6;3;1;5;15;1;0;0;1
1032;"Curitiba";"Livre";16/02/12;"PR";"Curitiba";0;"SIM";"FINALIZADO";1;39;0;0;0;40;0;0;0;10;10;0;0;0;0
1033;"Gararu";"Municipal";16/02/12;"SE";"Gararu";1;"SIM";"FINALIZADO";115;8;10;16;12;161;2;5;6;7;20;9;2;2;13
1034;"Itaguaí";"Municipal";16/02/12;"RJ";"Itaguaí";1;"SIM";"FINALIZADO";15;5;3;10;10;43;2;1;2;3;8;2;1;2;5
1035;"Macapá ";"Livre";16/02/12;"AP";"Macapá - CRC";0;"SIM";"FINALIZADO";30;3;1;0;0;34;0;0;0;10;10;0;0;0;0
1036;"Natal";"Regional";16/02/12;"RN";"Natal";1;"SIM";"FINALIZADO";113;27;15;8;10;173;6;5;6;3;20;40;13;7;60
1037;"Nova Iguaçu ";"Municipal";16/02/12;"RJ";"Nova Iguaçu ";1;"SIM";"FINALIZADO";74;59;7;5;0;145;6;6;4;4;20;11;4;1;16
1038;"Nova Timboteua";"Municipal";16/02/12;"PA";"Nova Timboteua";1;"SIM";"FINALIZADO";20;19;9;16;10;74;4;4;5;2;15;1;1;1;3
1039;"Palmas";"Livre";16/02/12;"TO";"Palmas";0;"SIM";"FINALIZADO";10;0;10;0;0;20;0;0;7;0;7;0;0;0;0
1040;"Santa Fé do Sul";"Municipal";16/02/12;"SP";"Santa Fé do Sul";1;"SIM";"FINALIZADO";24;35;4;0;0;63;3;4;5;5;17;2;1;0;3
1041;"Taquarivarí";"Municipal";16/02/12;"SP";"Taquarivarí";1;"SIM";"FINALIZADO";21;10;2;5;2;40;3;4;1;6;14;0;4;0;4
1042;"Taubaté";"Municipal";16/02/12;"SP";"Taubaté";1;"SIM";"FINALIZADO";18;24;9;8;38;97;5;4;4;7;20;3;1;1;5
1043;"Vargem Grande do Sul ";"Municipal";16/02/12;"SP";"Vargem Grande do Sul ";1;"SIM";"FINALIZADO";18;11;4;1;0;34;2;2;2;5;11;5;3;2;10
1044;"Serra do Navio";"Municipal";17/02/12;"AP";"Serra do Navio";1;"SIM";"NÃO RELATADA";;;;;;;;;;;0;;;;0
1045;"Branco do Sul";"Municipal";17/02/12;"AP";"Branco do Sul, São José dos Pinhais, Tunas do Paraná";1;"SIM";"FINALIZADO";13;12;0;0;0;25;5;6;1;3;15;6;3;1;10
1046;"Calçoene";"Municipal";17/02/12;"AP";"Calçoene";1;"SIM";"FINALIZADO";32;15;13;4;3;67;3;4;3;10;20;6;3;1;10
1047;"Campos de Julho";"Municipal";17/02/12;"MT";"Campos de Julho";1;"SIM";"FINALIZADO";1;0;0;0;0;0;1;2;9;6;18;0;1;0;1
1048;"Curitiba";"Livre";17/02/12;"PR";"Curitiba";0;"SIM";"FINALIZADO";17;2;0;0;0;19;4;2;2;1;9;0;0;0;0
1049;"Garanhuns";"Municipal";17/02/12;"PE";"Garanhuns";1;"SIM";"FINALIZADO";25;30;7;5;10;77;2;4;5;5;16;6;3;1;10
1050;"Juquiá";"Municipal";17/02/12;"SP";"Juquiá";1;"SIM";"FINALIZADO";26;11;6;31;11;85;2;3;2;1;8;0;0;1;1
1051;"Limeira";"Municipal";17/02/12;"SP";"Limeira";1;"SIM";"FINALIZADO";55;0;0;0;0;55;2;2;1;1;6;12;0;0;12
1052;"Marília";"Municipal";17/02/12;"SP";"Marília";1;"SIM";"FINALIZADO";22;0;5;6;0;33;9;5;4;2;20;5;0;5;10
1053;"Oiapoque";"Municipal";17/02/12;"AP";"Oiapoque";1;"SIM";"FINALIZADO";42;31;13;3;3;92;3;5;5;7;20;12;6;2;20
1054;"São João do Araguaia";"Municipal";17/02/12;"PA";"São João do Araguaia";1;"SIM";"FINALIZADO";57;14;5;11;11;98;2;4;2;4;12;1;1;0;2
1055;"Sete Barras";"Municipal";17/02/12;"SP";"Sete Barras";1;"SIM";"FINALIZADO";19;4;6;1;0;30;6;6;5;3;20;6;2;2;10
1056;"Gracho Cardoso";"Municipal";21/02/12;"SE";"Gracho Cardoso";1;"SIM";"FINALIZADO";22;15;2;10;4;53;6;2;7;5;20;9;2;2;13
1057;"Adamantina ";"Municipal";23/02/12;"SP";"Adamantina ";1;"SIM";"FINALIZADO";36;24;24;10;5;99;5;5;5;5;20;1;2;2;5
1058;"Entre Rios ";"Municipal";23/02/12;"BA";"Entre Rios ";1;"SIM";"FINALIZADO";88;31;6;21;0;146;5;4;4;7;20;7;3;2;12
1059;"Frei Paulo";"Municipal";23/02/12;"SE";"Frei Paulo";1;"SIM";"FINALIZADO";17;54;8;13;0;92;3;6;5;6;20;6;1;2;9
1060;"Guaratinguetá";"Municipal";23/02/12;"SP";"Guaratinguetá";1;"SIM";"FINALIZADO";10;5;1;1;1;18;5;5;5;5;20;3;1;1;5
1061;"Pinhão";"Municipal";23/02/12;"SE";"Pinhão";1;"SIM";"FINALIZADO";80;31;7;8;14;140;7;4;5;4;20;3;4;1;8
1062;"Regente Feijó";"Municipal";23/02/12;"SP";"Regente Feijó";1;"SIM";"FINALIZADO";30;15;3;48;0;96;2;2;1;2;7;6;2;2;10
1063;"Cardoso";"Municipal";24/02/12;"SP";"Cardoso";1;"SIM";"FINALIZADO";25;56;0;20;5;106;2;1;1;1;5;1;1;0;2
1064;"Paranhos";"Livre";24/02/12;"MS";"Paranhos";0;"SIM";"FINALIZADO";2;9;1;0;0;12;3;3;4;3;13;0;0;0;0
1065;"Anhumas";"Municipal";24/02/12;"SP";"Anhumas";1;"SIM";"FINALIZADO";35;31;13;0;0;79;2;2;3;1;8;4;2;2;8
1066;"Itapura";"Municipal";24/02/12;"SP";"Itapura";1;"SIM";"FINALIZADO";7;11;13;0;0;31;2;2;1;1;6;1;1;0;2
1067;"Nova União";"Municipal";24/02/12;"RO";"Nova União";1;"SIM";"FINALIZADO";14;9;5;0;0;28;5;3;2;3;13;1;1;1;3
1068;"Ourinhos";"Municipal";24/02/12;"SP";"Ourinhos";1;"SIM";"FINALIZADO";23;65;16;9;0;113;5;2;8;5;20;3;1;1;5
1069;"Palmeira dos Índios ";"Municipal";24/02/12;"AL";"Palmeira dos Índios ";1;"SIM";"FINALIZADO";120;60;11;20;5;216;5;7;2;6;20;11;6;2;19
1070;"Planalto";"Municipal";24/02/12;"BA";"Planalto";1;"SIM";"FINALIZADO";20;10;15;5;0;50;1;1;1;1;4;1;1;1;3
1071;"Porto da Folha";"Municipal";24/02/12;"SE";"Porto da Folha";1;"SIM";"FINALIZADO";141;22;3;1;0;167;6;5;4;5;20;7;3;2;12
1072;"Porto Ferreira";"Municipal";24/02/12;"SP";"Porto Ferreira";1;"SIM";"FINALIZADO";19;18;7;4;10;58;8;2;3;7;20;5;3;2;10
1073;"Registro";"Municipal";24/02/12;"SP";"Registro";1;"SIM";"FINALIZADO";36;26;12;0;0;74;5;3;2;4;14;3;1;1;5
1074;"São José dos Campos";"Livre";24/02/12;"SP";"São José dos Campos";0;"SIM";"FINALIZADO";15;1;0;0;0;16;0;2;0;0;2;0;0;0;0
1075;"São Vicente ";"Municipal";24/02/12;"SP";"São Vicente ";1;"SIM";"FINALIZADO";52;16;12;5;7;92;3;6;5;4;18;6;2;2;10
1076;"Várzea Paulista ";"Municipal";24/02/12;"SP";"Várzea Paulista ";1;"SIM";"FINALIZADO";28;72;21;4;17;142;5;5;5;5;20;3;2;1;6
1077;"Vitória da Conquista ";"Municipal";24/02/12;"BA";"Vitória da Conquista ";1;"SIM";"FINALIZADO";61;38;22;3;4;128;5;5;5;5;20;12;6;2;20
1078;"Votuporanga";"Regional";24/02/12;"SP";"Votuporanga, Álvares Florence, Américo de Campos, Cosmorama, Floreal, Gastão Vidigal, General Salgado, Macaubal, Magda, Monções, Nhandeara, Pontes Gestal, Riolândia, Sebastianópolis do Sul, Valentim Gentil";15;"SIM";"FINALIZADO";44;61;20;11;0;136;5;5;5;5;20;22;6;3;31
1079;"Boa Vista";"Estadual";24/02/12;"RR";"Boa Vista";0;"SIM";"FINALIZADO";38;11;5;57;4;115;2;4;2;12;20;18;7;3;28
1080;"Paulínia";"Municipal";25/02/12;"SP";"Paulínia";1;"SIM";"FINALIZADO";37;2;3;1;0;43;6;2;8;4;20;2;1;2;5
1081;"Porto Feliz";"Municipal";25/02/12;"SP";"Porto Feliz";1;"SIM";"FINALIZADO";78;105;12;10;5;210;5;5;5;5;20;3;2;0;5
1082;"Presidente Prudente";"Regional";25/02/12;"SP";"Presidente Prudente, Nates";3;"SIM";"FINALIZADO";25;6;11;34;3;79;8;5;3;4;20;9;5;1;15
1083;"Ribeirão Grande";"Municipal";25/02/12;"SP";"Ribeirão Grande";1;"SIM";"FINALIZADO";83;38;10;0;0;131;3;5;4;2;14;7;7;0;14
1084;"Santa Bárbara d'Oeste ";"Municipal";25/02/12;"SP";"Santa Bárbara d'Oeste ";1;"SIM";"FINALIZADO";14;10;3;0;0;27;5;3;4;8;20;2;2;2;6
1085;"São Paulo";"Livre";25/02/12;"SP";"São Paulo";0;"SIM";"FINALIZADO";18;0;0;0;0;18;3;4;1;2;10;0;0;0;0
1086;"Suzano ";"Municipal";25/02/12;"SP";"Suzano ";1;"SIM";"FINALIZADO";118;60;11;12;0;201;7;4;3;6;20;10;7;4;21
1087;"Vitória da Conquista ";"Livre";25/02/12;"BA";"Vitória da Conquista ";0;"SIM";"FINALIZADO";25;8;0;0;0;33;0;0;0;3;3;0;0;0;0
1088;"Candeias do Jamari";"Municipal";26/02/12;"RO";"Candeias do Jamari";1;"SIM";"FINALIZADO";35;4;10;5;5;59;5;5;4;6;20;1;1;1;3
1089;"Carnaubeira da Penha";"Municipal";26/02/12;"PE";"Carnaubeira da Penha";1;"SIM";"FINALIZADO";193;1;5;1;0;200;4;1;4;3;12;2;1;1;4
1090;"Mauá ";"Municipal";26/02/12;"SP";"Mauá ";1;"SIM";"FINALIZADO";72;30;32;10;9;153;3;4;6;7;20;3;1;1;5
1091;"Araci";"Municipal";27/02/12;"BA";"Araci";1;"SIM";"FINALIZADO";52;26;10;12;12;112;5;5;5;5;20;3;2;1;6
1092;"Caculé ";"Municipal";27/02/12;"BA";"Caculé ";1;"SIM";"FINALIZADO";75;14;5;31;7;132;1;2;3;2;8;0;1;0;1
1093;"Caraguatatuba";"Municipal";27/02/12;"SP";"Caraguatatuba";1;"SIM";"FINALIZADO";115;64;19;28;8;234;5;5;5;5;20;3;1;1;5
1094;"Espírito Santo do Pinhal";"Municipal";27/02/12;"SP";"Espírito Santo do Pinhal";1;"SIM";"FINALIZADO";38;30;24;4;0;96;4;3;4;9;20;6;2;2;10
1095;"Eunápolis";"Municipal";27/02/12;"BA";"Eunápolis";1;"SIM";"FINALIZADO";27;90;13;9;4;143;5;4;5;2;16;3;2;1;6
1096;"Feira de Santana ";"Municipal";27/02/12;"BA";"Feira de Santana ";1;"SIM";"FINALIZADO";44;30;8;5;29;116;4;5;5;6;20;16;8;3;27
1097;"Lençóis Paulista";"Municipal";27/02/12;"SP";"Lençóis Paulista";1;"SIM";"FINALIZADO";13;17;3;0;2;35;4;4;5;7;20;4;2;1;7
1098;"Lindóia";"Municipal";27/02/12;"SP";"Lindóia";1;"SIM";"FINALIZADO";8;27;15;0;0;50;5;5;5;5;20;3;1;1;5
1099;"Maraú";"Municipal";27/02/12;"BA";"Maraú";1;"SIM";"FINALIZADO";25;5;8;5;5;48;4;4;7;5;20;1;1;1;3
1100;"Mata de São João";"Municipal";27/02/12;"BA";"Mata de São João";1;"SIM";"FINALIZADO";113;14;8;5;0;140;4;5;4;4;17;3;1;0;4
1101;"Messias";"Regional";27/02/12;"AL";"Messias, Paripueira, Santa Luzia do Norte ";3;"SIM";"FINALIZADO";44;23;26;9;7;109;4;4;3;9;20;6;3;1;10
1102;"Nova Odessa";"Municipal";27/02/12;"SP";"Nova Odessa";1;"SIM";"FINALIZADO";10;5;3;2;4;24;5;3;8;4;20;1;1;1;3
1103;"Santo Amaro";"Municipal";27/02/12;"BA";"Santo Amaro";1;"SIM";"FINALIZADO";85;45;3;0;1;134;5;5;5;5;20;7;4;1;12
1104;"São Paulo";"Municipal";27/02/12;"SP";"São Paulo";1;"SIM";"FINALIZADO";233;51;78;10;0;372;5;5;5;5;20;44;11;8;63
1105;"Água Clara";"Regional";28/02/12;"MS";"Água Clara, Aparecida do Taboado, Cassilândia, Inocência, Paranaíba, Santa Rita do Pardo, Selvíria, Três Lagoas";8;"SIM";"FINALIZADO";35;32;31;9;5;112;5;5;5;5;20;18;9;3;30
1106;"Águas de Lindóia";"Municipal";28/02/12;"SP";"Águas de Lindóia";1;"SIM";"FINALIZADO";3;37;2;0;0;42;5;5;5;5;20;3;1;1;5
1107;"Alagoinha";"Regional";28/02/12;"PE";"Alagoinha, Arcoverde, Belo Jardim, Brejo da Madre de Deus, Buíque, Jataúba, Pedra, Pesqueira, Poção, Sanharó, Sertânia, Tupanatinga, Venturosa ";13;"SIM";"FINALIZADO";31;107;7;5;1;151;6;5;5;4;20;6;3;1;10
1108;"Araras";"Municipal";28/02/12;"SP";"Araras";1;"SIM";"FINALIZADO";37;21;12;14;0;84;2;3;6;5;16;2;2;1;5
1109;"Bauru ";"Municipal";28/02/12;"SP";"Bauru ";1;"SIM";"FINALIZADO";53;45;3;7;0;108;4;9;2;5;20;6;2;2;10
1110;"Bocaina";"Municipal";28/02/12;"SP";"Bocaina";1;"SIM";"FINALIZADO";6;3;3;2;1;15;1;1;1;1;4;0;1;0;1
1111;"Cabo de Santo Agostinho ";"Municipal";28/02/12;"PE";"Cabo de Santo Agostinho ";1;"SIM";"FINALIZADO";54;30;5;10;2;101;5;5;5;5;20;3;2;1;6
1112;"Canapi";"Municipal";28/02/12;"AL";"Canapi";1;"SIM";"FINALIZADO";66;40;11;10;5;132;2;5;5;8;20;2;3;1;6
1113;"Dom Macedo Costa ";"Municipal";28/02/12;"BA";"Dom Macedo Costa ";1;"SIM";"FINALIZADO";34;19;12;10;14;89;5;5;5;5;20;4;1;0;5
1114;"Flexeiras";"Municipal";28/02/12;"AL";"Flexeiras";1;"SIM";"FINALIZADO";32;22;26;7;0;87;4;4;4;4;16;7;0;1;8
1115;"Francisco Morato";"Municipal";28/02/12;"SP";"Francisco Morato";1;"SIM";"FINALIZADO";59;98;16;20;3;196;5;5;5;3;18;10;5;2;17
1116;"Ibirá";"Municipal";28/02/12;"SP";"Ibirá";1;"SIM";"FINALIZADO";7;11;4;3;0;25;2;1;3;3;9;3;1;1;5
1117;"Igarassu";"Municipal";28/02/12;"PE";"Igarassu";1;"SIM";"FINALIZADO";38;19;4;13;0;74;5;5;4;4;18;17;9;3;29
1118;"Ilhabela";"Municipal";28/02/12;"SP";"Ilhabela";1;"SIM";"FINALIZADO";69;38;4;10;2;123;3;4;8;5;20;3;2;1;6
1119;"Itapecerica da Serra";"Municipal";28/02/12;"SP";"Itapecerica da Serra";1;"SIM";"FINALIZADO";50;20;2;3;2;77;5;5;5;5;20;3;1;1;5
1120;"Macapá";"Municipal";28/02/12;"AP";"Macapá";1;"SIM";"FINALIZADO";120;60;20;15;99;314;5;6;3;6;20;59;27;4;90
1121;"Mirassol";"Municipal";28/02/12;"SP";"Mirassol";1;"SIM";"FINALIZADO";5;8;1;3;8;25;2;1;1;1;5;2;0;0;2
1122;"Pindamonhangaba ";"Municipal";28/02/12;"SP";"Pindamonhangaba ";1;"SIM";"FINALIZADO";21;18;7;3;4;53;1;1;1;1;4;3;2;1;6
1123;"Ponta Porã";"Regional";28/02/12;"MS";"Ponta Porã, Amambaí, Aral Moreira, Laguna Carapã, Sete Quedas";5;"SIM";"FINALIZADO";41;19;12;5;3;80;5;5;3;7;20;15;8;5;28
1124;"Ribeirão Pires";"Municipal";28/02/12;"SP";"Ribeirão Pires";1;"SIM";"FINALIZADO";38;9;12;3;0;62;7;2;6;5;20;6;1;3;10
1125;"São José dos Campos";"Municipal";28/02/12;"SP";"São José dos Campos";1;"SIM";"FINALIZADO";37;10;8;72;10;137;5;5;5;5;20;6;3;1;10
1126;"Soure";"Municipal";28/02/12;"PA";"Soure";1;"SIM";"FINALIZADO";28;12;19;2;1;62;1;2;2;1;6;2;2;1;5
1127;"Planaltino";"Municipal";29/02/12;"BA";"Planaltino";1;"SIM";"FINALIZADO";44;20;8;4;0;76;1;1;1;1;4;1;0;0;1
1128;"Alfredo Marcondes";"Municipal";29/02/12;"SP";"Alfredo Marcondes";1;"SIM";"FINALIZADO";23;9;5;1;1;39;3;2;3;3;11;3;2;2;7
1129;"Alfredo Marcondes";"Livre";29/02/12;"SP";"Alfredo Marcondes";0;"SIM";"FINALIZADO";23;9;5;0;0;37;3;2;3;2;10;0;0;0;0
1130;"Andradina";"Regional";29/02/12;"SP";"Andradina, Bento de Abreu, Castilho, Guaraçaí, Guararapes, Ilha Solteira, Lavínia, Mirandópolis, Murutinga do Sul, Nova Independência, Rubiácea, Sud Mennucci, Valparaíso ";13;"SIM";"FINALIZADO";22;64;41;0;0;127;3;4;2;11;20;3;1;1;5
1131;"Belo Horizonte ";"Livre";29/02/12;"MG";"Belo Horizonte - CGU";0;"SIM";"FINALIZADO";2;83;0;0;0;85;0;0;0;10;10;0;0;0;0
1132;"Breves";"Municipal";29/02/12;"PA";"Breves";1;"SIM";"FINALIZADO";13;12;3;33;0;61;5;5;5;5;20;8;4;1;13
1133;"Cordeirópolis";"Municipal";29/02/12;"SP";"Cordeirópolis";1;"SIM";"FINALIZADO";96;24;8;1;2;131;5;4;5;6;20;5;2;2;9
1134;"Cruzeiro ";"Municipal";29/02/12;"SP";"Cruzeiro ";1;"SIM";"FINALIZADO";67;12;9;1;1;90;1;3;2;1;7;2;2;1;5
1135;"Delmiro Gouveia ";"Municipal";29/02/12;"AL";"Delmiro Gouveia ";1;"SIM";"FINALIZADO";90;45;15;17;16;183;4;4;6;6;20;11;6;4;21
